content,words,confidence,p_foreign,p_upper,p_cap,avg_length,label,sentiment,emphasis,amplitude,politeness,dirtiness,main_tense,negated,article_id,article_type,user_type,outcome
Why Put So Much Trust in the Fed?,8,1,0,0,75,3.25,neutral,0,1,0,0,0,present,FALSE,542843,Letters,1,1
Christie Aims GOP Work at N.J. Firms,7,1,0,28.57142857,71.42857143,4.285714286,neutral,0,1,0,0,0,present,FALSE,542826,NY Region,2,0
East London Penthouse,3,1,0,0,100,6.333333333,neutral,0,1,0,0,0,present,FALSE,542923,Europe House of the Day,1,1
"Canada Home Prices, Sales Rise in July",7,1,0,0,85.71428571,4.571428571,neutral,0,1,0,0,0,present,FALSE,542809,Canada News,1,0
Gold Hurt by Stronger U.S. Economic Data,7,1,0,14.28571429,71.42857143,4.857142857,positive,4,1,0.285714286,0,0,present,FALSE,542830,Commodities,2,1
U.S. Government Bonds Rally on Ukraine Tensions,7,1,0,14.28571429,71.42857143,5.857142857,neutral,0,1,0,0,0,present,FALSE,542805,Credit Markets,1,0
Officials Give New Details of Missouri Teen's Shooting,9,1,0,0,77.77777778,5.222222222,neutral,0,1,0,0,0,present,FALSE,542779,U.S. News,1,0
A Taxi Commission for the Internet?,6,1,0,16.66666667,50,5,neutral,0,1,0,0,0,present,FALSE,542822,Information Age,2,1
Ukraine Hits Russian Vehicles Crossing Border,6,1,0,0,100,6.666666667,neutral,0,1,0,0,0,present,FALSE,542775,World News,1,1
Ukraine Reports Wipe Out Early Market Rises,7,1,0,0,100,5.285714286,neutral,0,1,0,0,0,present,FALSE,542783,Europe Markets,2,1
Cushman & Wakefield Looks to Double Asia-Pacific Revenue,8,1,0,0,62.5,6.125,neutral,0,1,0,0,0,present,FALSE,542810,Asian Business News,1,1
McConnell Foe Keeps Him in Spotlight,6,1,0,0,83.33333333,5.166666667,neutral,0,1,0,0,0,present,FALSE,542752,Politics and Policy,2,0
Strong Guys Should Give Counseling a Try,7,1,0,0,85.71428571,4.857142857,positive,7,1,0.285714286,0,0,present,FALSE,542787,Letters,1,0
Nordstrom's Revenue Grows 6.2%,5,1,0,0,60,5.4,neutral,0,1,0,0,0,present,FALSE,542753,Earnings,1,1
Blowing Up in the Bike Lane,6,1,0,0,66.66666667,3.666666667,neutral,0,1,0,0,0,present,FALSE,542442,NY Culture,1,1
Best of the Web Today: 'Ground' Beef,7,1,0,0,71.42857143,4.285714286,positive,5,1,0.45,0,0,present,FALSE,542437,Best of the Web Today,1,1
In Yorkshire's Green but Not Pleasant Land,8,1,0,0,75,4.5,neutral,0,1,0,0,0,present,TRUE,542293,Television,1,0
U.K. Police Search Singer Richard's House,7,1,0,14.28571429,71.42857143,5.142857143,neutral,0,1,0,0,0,present,FALSE,542441,U.K. News,2,0
U.S. Stocks Advance,3,1,0,33.33333333,66.66666667,5.666666667,neutral,0,1,0,0,0,present,FALSE,542418,Today's Markets,1,1
Banco Do Brasil's Profit Rises 14%,7,1,0,0,71.42857143,4.142857143,neutral,0,1,0,0,0,present,FALSE,542316,Markets Main,2,1
European Stocks Gain Despite Weak Growth Figures,7,1,0,0,100,6,neutral,0,1,0,0,0,present,FALSE,542220,Europe Markets,2,1
Euro Zone's Economy Fails to Grow,7,1,0,0,71.42857143,4,negative,3,1,0.285714286,0,0,present,FALSE,542387,Economy,2,1
Swire Pacific Grooms Talent for the Long Term,8,1,0,0,75,4.75,neutral,0,1,0,0,0,present,FALSE,542386,Boss Talk Asia,1,1
Japanese Machinery Orders Rise,4,1,0,0,100,6.75,neutral,0,1,0,0,0,present,FALSE,542237,Japan News,2,1
"They're Young, Broke and European",6,1,0,0,66.66666667,4.833333333,neutral,0,1,0,0,0,present,FALSE,542267,Letters,1,0
Christie Plans Meeting to Address Atlantic City's Future,9,1,0,0,77.77777778,5.444444444,neutral,0,1,0,0,0,present,FALSE,542395,NY Region,2,1
Furniture Design: Back to Black,5,1,0,0,80,5.4,neutral,0,1,0,0,0,present,FALSE,542201,Fresh Picks,1,1
Going Back to the Jazz Age,6,1,0,0,66.66666667,3.5,neutral,0,1,0,0,0,present,FALSE,542197,NY Lunch Box,2,0
On Hillary Clinton's New Life as a Foreign Policy Hawk,11,1,0,0,72.72727273,4.090909091,neutral,0,1,0,0,0,present,FALSE,542176,Letters,2,1
Private Money Helps Medicine for Everyone,6,1,0,0,83.33333333,6,neutral,0,1,0,0,0,present,FALSE,542399,Letters,1,0
"Dollar Rises Against Pound, Yen",5,1,0,0,100,5.4,neutral,0,1,0,0,0,present,FALSE,542279,Foreign Exchange,1,0
U.S. Stocks End Higher,4,1,0,25,75,4.75,neutral,0,1,0,0,0,present,FALSE,542196,Today's Markets,1,0
Earnings Lift European Markets,4,1,0,0,100,6.75,neutral,0,1,0,0,0,present,FALSE,542166,Europe Markets,1,0
After Mandela,2,1,0,0,100,6,neutral,0,1,0,0,0,present,FALSE,535955,WSJ Flash Interactive,2,1
South Africa Announces Mandela Memorials,5,1,0,0,100,7.2,neutral,0,1,0,0,0,present,FALSE,535900,Africa News,1,1
Bringing Books Back for Digital Generation,6,1,0,0,83.33333333,6.166666667,neutral,0,1,0,0,0,present,FALSE,535881,NY Culture,2,1
The History of Sears,4,1,0,0,75,4.25,neutral,0,1,0,0,0,present,FALSE,535846,WSJ Flash Interactive,2,1
Former Furniture Brands Executives Ask to Spend Insurance Money,9,1,0,0,88.88888889,6.111111111,neutral,0,1,0,0,0,present,FALSE,535891,Business,1,0
Jobs and the Fed,4,1,0,0,50,3.25,neutral,0,1,0,0,0,present,FALSE,535839,Review & Outlook (U.S.),2,1
More People Pick Homes Over the Phone,7,1,0,0,85.71428571,4.428571429,neutral,0,1,0,0,0,present,FALSE,535947,Spread Sheet,1,1
Running for Governor: A Money Decision,6,1,0,16.66666667,66.66666667,5.5,neutral,0,1,0,0,0,present,FALSE,535876,NY Politics,2,1
Christmas Lights Go Pro,4,1,0,0,100,5,neutral,0,1,0,0,0,present,FALSE,535911,Design,2,1
Behind the Classical Music Curtain,5,1,0,0,80,6,neutral,0,1,0,0,0,present,FALSE,535864,NY Culture,2,1
The Pick of Christmas Wines,5,1,0,0,80,4.6,neutral,0,1,0,0,0,present,FALSE,535918,Will Lyons on Wine,1,0
Sao Paulo World Cup Stadium to Be Ready by April,10,1,0,0,80,3.9,neutral,0,1,0,0,0,present,FALSE,535815,Latin America News,1,0
Big Small Talk: Dec. 13-20,5,1,0,0,60,4.4,neutral,0,1,0,0,0,present,FALSE,535898,Big Small Talk,1,0
Mandela to Be Buried Dec. 15,6,1,0,0,50,3.833333333,neutral,0,1,0,0,0,past,FALSE,535851,Africa News,2,1
Shanghai Hit By Heavy Air Pollution,6,1,0,0,100,5,neutral,0,1,0,0,0,present,FALSE,535816,China News,1,1
Volcker Rule to Require CEOs Guarantee Compliance,7,1,0,0,85.71428571,6.142857143,neutral,0,1,0,0,0,present,FALSE,535780,Markets Main,2,0
A Slow Recovery,3,1,0,33.33333333,66.66666667,4.333333333,neutral,0,1,0,0,0,present,FALSE,535786,WSJ Flash Interactive,2,0
United Names Greg Hart Chief Operations Officer,7,1,0,0,100,5.857142857,neutral,2,1,0.142857143,0,0,present,FALSE,535742,Business,1,1
The San Jose Way Is the Wrong Way,8,1,0,0,87.5,3.25,neutral,0,1,0,0,0,present,FALSE,535733,Letters,1,1
Yankees Press On With or Without Cano,7,1,0,0,85.71428571,4.428571429,neutral,0,1,0,0,0,present,TRUE,535812,Brian Costa,2,0
"Voters Express Disappointment With President, Congress",6,1,0,0,100,8.166666667,neutral,0,1,0,0,0,present,FALSE,535807,Politics and Policy,1,1
Shell Backs Out of Louisiana Project,6,1,0,0,83.33333333,5.166666667,neutral,0,1,0,0,0,present,FALSE,535755,Business,2,0
Acting as His Own Counsel,5,1,0,0,80,4.2,neutral,0,1,0,0,0,present,FALSE,535721,NY Crime,1,1
Shell Meets With Iran Oil Minister,6,1,0,0,100,4.833333333,neutral,0,1,0,0,0,present,FALSE,535716,Politics and Policy,1,1
Deutsche Bank to Scale Back Commodities Business,7,1,0,0,85.71428571,6,neutral,0,1,0,0,0,present,FALSE,535684,Commodities,2,0
"OCC Lags In Addressing Large Bank Risks, Report Says",9,1,0,11.11111111,100,4.888888889,negative,4,1,0.228,0,0,present,FALSE,535656,Markets Main,1,1
Treasurys Fall Ahead of Jobs Report,6,1,0,0,83.33333333,5,neutral,0,1,0,0,0,present,FALSE,535698,Credit Markets,2,0
U.K. Launches Tax to Tackle House Prices,7,1,0,14.28571429,71.42857143,4.857142857,neutral,0,1,0,0,0,present,FALSE,535708,U.K. News,2,0
Kohl's To Extend Holiday Hours From Dec. 20,9,1,0,0,66.66666667,4,neutral,0,1,0,0,0,present,FALSE,535646,Business,2,0
Titan Machinery Profit Falls 59%,5,1,0,0,80,5.6,neutral,0,1,0,0,0,present,FALSE,535709,Earnings,1,1
Jos. A. Bank Reports Higher Profit,1,1,0,0,100,4,neutral,0,1,0,0,0,present,FALSE,535652,Earnings,2,0
Banks Listen In to Trader Talk,6,1,0,0,83.33333333,4.166666667,neutral,0,1,0,0,0,present,FALSE,535674,Markets Main,2,1
BNP Paribas to Buy Polish Bank,6,1,0,16.66666667,83.33333333,4.166666667,neutral,0,1,0,0,0,present,FALSE,535626,Markets Main,2,1
Thailand's King Calls for Unity,6,1,0,0,66.66666667,4.5,neutral,0,1,0,0,0,present,FALSE,535618,World News NoCo,2,1
Toronto Police Say Gang Had Ford Video,7,1,0,0,100,4.571428571,neutral,0,1,0,0,0,past,FALSE,535611,Canada News,2,1
Making an Impact for AIDS Patients,6,1,0,16.66666667,66.66666667,4.833333333,neutral,0,1,0,0,0,present,FALSE,535604,NY Culture,1,1
A Better British Invasion,4,1,0,25,75,5.5,neutral,0,1,0,0,0,present,FALSE,535608,NY Food,1,0
A Season of Sondheim,4,1,0,25,50,4.25,neutral,0,1,0,0,0,present,FALSE,535662,NY Culture,1,0
"Hey, Let's Keep a Fair Perspective on Israel",9,1,0,0,66.66666667,4.111111111,neutral,0,1.1,0,0,0,present,FALSE,535587,Letters,1,0
Discounts Take Shine Off U.S. Car Sales Gains,8,1,0,12.5,87.5,4.75,neutral,2,1,0.125,0,0,present,FALSE,535622,Business,1,1
Best of the Web Today: The Time Thief,8,1,0,0,75,3.75,positive,6,1,0.5,0,0,present,FALSE,535596,Best of the Web Today,2,0
Alderson Says Collins's Job Is Secure With Mets,9,1,0,0,88.88888889,4.444444444,neutral,0,1,0,0,0,present,FALSE,540156,NY Mets,1,1
AIG Taps Former Banker as CEO,6,1,0,33.33333333,83.33333333,4,neutral,0,1,0,0,0,present,FALSE,540283,Markets Main,1,1
Helen Fisher on the Future of Love,7,1,0,0,57.14285714,4,neutral,0,1,0,0,0,present,FALSE,540066,Journal Reports: Leadership,2,0
Notable & Quotable,3,1,0,0,66.66666667,5.333333333,neutral,0,1,0,0,0,present,FALSE,540247,Notable &amp; Quotable,1,1
Artists' Long Struggle to Get the Right Color,8,1,0,0,75,4.75,neutral,0,1,0,0,0,present,FALSE,540084,Icons,1,1
A Rare Sale on Danaher Shares,6,1,0,16.66666667,66.66666667,4,neutral,2,1,0.166666667,0,0,present,FALSE,540157,Barron's Investment Insight,2,0
The Write House,3,1,0,0,100,4.333333333,neutral,0,1,0,0,0,present,FALSE,540073,House Call,1,1
"Tomato: Fruit, Vegetable or Car?",5,1,0,0,80,5.6,neutral,0,1,0,0,0,present,FALSE,540092,Business,2,0
Another IRS Abuse,3,1,0,33.33333333,100,5,neutral,0,1,0,0,0,present,FALSE,540042,Morning Editorial Report,2,0
Growth Set to Weaken in Developing Economies,7,1,0,0,71.42857143,5.428571429,neutral,0,1,0,0,0,present,FALSE,540256,Russia News,2,0
Italian Companies Flock to Debt Markets,6,1,0,0,83.33333333,5.666666667,neutral,0,1,0,0,0,present,FALSE,540107,Markets Main,1,0
A Matter of Taste,4,1,0,25,50,3.5,neutral,0,1,0,0,0,present,FALSE,540062,Life & Style,1,0
Oil Futures Pull Back Slightly,5,1,0,0,100,5.2,neutral,0,1,0,0,0,present,FALSE,540264,Commodities,1,0
Renault in Sports Car Split with Tony Fernandes,8,1,0,0,75,5,neutral,0,1,0,0,0,present,FALSE,540045,Business,2,1
Europe Stocks Edge Higher,4,1,0,0,100,5.5,neutral,0,1,0,0,0,present,FALSE,539990,Europe Markets,1,0
Wilbur Ross Sells Bank of Ireland Stake,7,1,0,0,85.71428571,4.714285714,neutral,0,1,0,0,0,present,FALSE,540064,Markets Main,2,1
Quick Puts Rangers in a Deep Hole,7,1,0,0,71.42857143,3.857142857,neutral,0,1,0,0,0,present,FALSE,540022,NY Sports,2,1
Tom Wheeler on the Future of Communications,7,1,0,0,57.14285714,5.285714286,neutral,0,1,0,0,0,present,FALSE,540014,Journal Reports: Leadership,2,1
Few Banca Monte dei Paschi di Siena Shares Change Hands at Start of Rights Issue,15,1,0,0,73.33333333,4.4,neutral,2,1,0.133333333,0,0,present,FALSE,539969,Europe Markets,1,0
"For Brokers, Taking on Employers Gets Tough",7,1,0,0,85.71428571,5.285714286,neutral,0,1,0,0,0,present,FALSE,540213,Wealth Management Journal,2,1
Singapore Wants You,3,1,0,0,100,5.666666667,neutral,2,1,0.166666667,0,0,present,FALSE,540019,Homes,2,1
Do Jews Have a Future in Europe?,7,1,0,0,71.42857143,3.714285714,neutral,0,1,0,0,0,present,FALSE,539949,Opinion Europe,1,1
Concerns Grow Over Singapore Pension System,6,1,0,0,100,6.333333333,neutral,0,1,0,0,0,present,FALSE,539967,Asia News,1,1
Canada Housing Starts Edge Higher,5,1,0,0,100,5.8,neutral,0,1,0,0,0,present,FALSE,540010,Canada News,2,0
London Apartment With Historical Views,5,1,0,0,100,6.8,neutral,0,1,0,0,0,present,FALSE,540007,Europe House of the Day,1,1
Elizabethan Tudor Manor,3,1,0,0,100,7,neutral,0,1,0,0,0,present,FALSE,539995,Europe House of the Day,1,1
Oil Futures Advance,3,1,0,0,100,5.666666667,neutral,0,1,0,0,0,present,FALSE,539947,Commodities,1,1
Sterling Is Considering Going Forward With Lawsuit,7,1,0,0,100,6.285714286,neutral,0,1,0,0,0,present,FALSE,539982,NBA,1,1
Japan GDP Revised Higher,4,1,0,25,100,5.25,neutral,0,1,0,0,0,present,FALSE,539926,Japan News,2,0
"When the Going Got Tough, the Son Got Going",9,1,0,0,77.77777778,3.888888889,neutral,0,1,0,0,0,past,FALSE,539974,NY Real Estate Commercial,1,1
Celebrating the Jet Set With Portraits,6,1,0,0,83.33333333,5.5,positive,5,1,0.5,0,0,present,FALSE,539907,NY Heard & Scene,2,0
"For Art Hub, It's Goodbye to Chelsea and Hello to Brooklyn",12,1,0,0,66.66666667,4,neutral,0,1.1,0,0,0,present,FALSE,540169,NY Culture,2,0
The Danger in Europe's Culture War,7,1,0,0,71.42857143,4.142857143,neutral,0,1,0,0,0,present,FALSE,539943,Europe File,2,0
Notable & Quotable,3,1,0,0,66.66666667,5.333333333,neutral,0,1,0,0,0,present,FALSE,539959,Notable & Quotable,2,0
The Barron Fight,3,1,0,0,100,4.666666667,neutral,0,1,0,0,0,present,FALSE,539613,Review & Outlook (U.S.),1,1
Russia Bans U.S. Sales of Rocket Engines,7,1,0,14.28571429,71.42857143,4.857142857,neutral,0,1,0,0,0,present,FALSE,539696,Environment & Science,1,1
Rosabeth Moss Kanter on Corporations of the Future,8,1,0,0,62.5,5.375,neutral,0,1,0,0,0,present,FALSE,539596,Journal Reports: Leadership,1,1
